,date,open,close,high,low
0,2015-01-05,7.626,7.817,7.999,7.496
1,2015-01-06,7.748,8.354,8.502,7.626
2,2015-01-07,8.146,7.999,8.233,7.956
3,2015-01-08,7.999,7.886,8.12,7.852
4,2015-01-09,7.843,7.626,7.93,7.618
5,2015-01-12,7.583,7.236,7.583,7.158
6,2015-01-13,7.219,7.28,7.323,7.193
7,2015-01-14,7.28,7.28,7.366,7.193
8,2015-01-15,7.28,7.427,7.496,7.28
9,2015-01-16,7.453,7.574,7.644,7.366
10,2015-01-19,7.193,6.873,7.358,6.821
11,2015-01-20,6.925,7.072,7.167,6.925
12,2015-01-21,7.089,7.297,7.34,7.08
13,2015-01-22,7.297,7.375,7.444,7.176
14,2015-01-23,7.392,7.271,7.444,7.236
15,2015-01-26,7.271,7.349,7.366,7.236
16,2015-01-27,7.41,7.34,7.488,7.219
17,2015-01-28,7.306,7.332,7.401,7.245
18,2015-01-29,7.28,7.124,7.288,7.098
19,2015-01-30,7.141,7.158,7.41,7.141
20,2015-02-02,7.054,6.985,7.089,6.951
21,2015-02-03,7.046,7.098,7.106,6.968
22,2015-02-04,7.141,7.184,7.254,7.063
23,2015-02-05,7.21,6.994,7.245,6.968
24,2015-02-06,6.977,6.665,7.054,6.587
25,2015-02-09,6.673,6.561,6.717,6.491
26,2015-02-10,6.569,6.743,6.76,6.569
27,2015-02-11,6.803,6.743,6.864,6.717
28,2015-02-12,6.743,6.786,6.829,6.734
29,2015-02-13,6.881,6.994,7.106,6.812
30,2015-02-16,7.098,7.219,7.228,7.072
31,2015-02-17,7.262,7.254,7.262,7.15
32,2015-02-25,7.245,7.531,7.713,7.245
33,2015-02-26,7.67,7.964,8.216,7.635
34,2015-02-27,8.034,7.886,8.034,7.748
35,2015-03-02,8.138,7.973,8.181,7.878
36,2015-03-03,7.973,7.964,8.198,7.834
37,2015-03-04,7.921,7.8,7.964,7.67
38,2015-03-05,7.8,7.826,8.129,7.713
39,2015-03-06,7.852,7.583,7.852,7.54
