,date,open,close,high,low
0,2015-01-05,4.523,4.556,4.618,4.402
1,2015-01-06,4.521,4.725,4.734,4.452
2,2015-01-07,4.63,4.566,4.68,4.533
3,2015-01-08,4.568,4.516,4.613,4.485
4,2015-01-09,4.488,4.473,4.549,4.469
5,2015-01-12,4.492,4.538,4.545,4.433
6,2015-01-13,4.538,4.556,4.573,4.483
7,2015-01-14,4.523,4.547,4.599,4.511
8,2015-01-15,4.535,4.609,4.67,4.533
9,2015-01-16,4.606,4.621,4.659,4.538
10,2015-01-19,4.514,4.462,4.597,4.416
11,2015-01-20,4.469,4.554,4.566,4.469
12,2015-01-21,4.568,4.651,4.67,4.568
13,2015-01-22,4.682,4.68,4.701,4.599
14,2015-01-23,4.68,4.756,4.865,4.678
15,2015-01-26,4.742,4.801,4.815,4.701
16,2015-01-27,4.829,4.851,4.879,4.765
17,2015-01-28,4.808,4.789,4.903,4.782
18,2015-01-29,4.753,4.832,4.874,4.706
19,2015-01-30,4.832,4.78,4.948,4.775
20,2015-02-02,4.675,4.706,4.746,4.651
21,2015-02-03,4.708,4.799,4.829,4.699
22,2015-02-04,4.806,4.81,4.884,4.78
23,2015-02-05,4.841,4.746,4.879,4.723
24,2015-02-06,4.746,4.685,4.851,4.678
25,2015-02-09,4.678,4.682,4.711,4.656
26,2015-02-10,4.682,4.623,4.708,4.618
27,2015-02-11,4.625,4.663,4.68,4.621
28,2015-02-12,4.663,4.777,4.825,4.656
29,2015-02-13,4.794,4.844,4.884,4.784
30,2015-02-16,4.858,4.879,4.912,4.858
31,2015-02-17,4.882,4.822,4.903,4.782
32,2015-02-25,4.822,5.181,5.266,4.815
33,2015-02-26,5.221,5.185,5.387,5.007
34,2015-02-27,5.162,5.321,5.34,5.033
35,2015-03-02,5.37,5.416,5.577,5.368
36,2015-03-03,5.389,5.404,5.539,5.316
37,2015-03-04,5.316,5.323,5.382,5.228
38,2015-03-05,5.361,5.318,5.501,5.295
39,2015-03-06,5.321,5.197,5.382,5.185
40,2015-03-09,5.145,5.349,5.378,5.133
41,2015-03-10,5.316,5.399,5.43,5.268
42,2015-03-11,5.363,5.42,5.456,5.328
43,2015-03-12,5.423,5.444,5.506,5.387
44,2015-03-13,5.446,5.397,5.458,5.223
45,2015-03-16,5.382,5.423,5.43,5.335
46,2015-03-17,5.42,5.503,5.534,5.354
47,2015-03-18,5.48,5.888,5.926,5.456
48,2015-03-19,5.843,5.824,5.919,5.698
49,2015-03-20,5.814,5.786,5.885,5.748
50,2015-03-23,5.81,5.852,5.897,5.719
51,2015-03-24,5.852,6.438,6.438,5.622
52,2015-03-25,6.436,6.27,6.436,6.244
53,2015-03-26,6.239,6.073,6.239,6.052
54,2015-03-27,6.071,6.116,6.163,6.054
55,2015-03-30,6.135,6.168,6.251,6.116
56,2015-03-31,6.18,6.13,6.227,6.078
57,2015-04-01,6.116,6.175,6.206,6.116
58,2015-04-02,6.182,6.279,6.351,6.182
59,2015-04-03,6.237,6.519,6.529,6.149
60,2015-04-07,6.51,6.889,6.906,6.51
61,2015-04-08,6.811,6.723,6.946,6.621
62,2015-04-09,6.707,7.02,7.15,6.635
63,2015-04-10,7.039,7.082,7.165,6.93
64,2015-04-13,7.067,7.428,7.464,7.044
65,2015-04-14,7.587,7.366,7.755,7.238
66,2015-04-15,7.255,7.504,7.634,7.003
67,2015-04-16,7.44,7.241,8.069,6.754
68,2015-04-17,7.333,7.504,7.687,7.326
69,2015-04-20,7.423,7.35,7.423,7.096
70,2015-04-21,7.333,7.464,7.589,7.119
71,2015-04-22,7.494,7.699,7.755,7.494
72,2015-04-23,7.703,7.824,7.922,7.461
73,2015-04-24,7.689,7.824,7.855,7.357
74,2015-04-27,7.803,8.607,8.607,7.594
75,2015-04-28,8.755,9.087,9.322,8.095
76,2015-04-29,8.306,8.719,9.065,8.306
77,2015-04-30,8.543,8.244,8.691,8.235
78,2015-05-04,8.344,7.929,8.425,7.843
79,2015-05-05,7.95,7.418,7.976,7.262
80,2015-05-06,7.577,7.184,7.587,7.053
81,2015-05-07,7.165,6.707,7.191,6.531
82,2015-05-08,6.908,6.939,7.022,6.628
83,2015-05-11,7.008,7.324,7.409,6.799
84,2015-05-12,7.321,7.345,7.461,7.217
85,2015-05-13,7.286,7.487,7.563,7.124
86,2015-05-14,7.499,7.71,7.76,7.43
87,2015-05-15,7.689,7.207,7.689,7.191
88,2015-05-18,7.091,7.082,7.112,6.93
89,2015-05-19,7.082,7.212,7.252,7.025
90,2015-05-20,7.274,7.933,7.933,7.188
91,2015-05-21,8.259,8.591,8.698,8.259
92,2015-05-22,8.631,8.586,9.018,8.278
93,2015-05-25,8.448,8.826,8.876,8.342
94,2015-05-26,8.828,8.971,9.084,8.562
95,2015-05-27,9.137,8.766,9.137,8.615
96,2015-05-28,8.579,7.891,8.852,7.891
97,2015-05-29,7.879,7.774,8.021,7.105
98,2015-06-01,7.76,8.496,8.532,7.76
99,2015-06-02,8.543,9.345,9.345,8.541
100,2015-06-03,9.191,9.236,9.338,8.781
101,2015-06-04,9.229,9.087,9.229,8.313
102,2015-06-05,9.175,9.989,9.996,8.812
103,2015-06-08,9.967,10.048,10.466,9.611
104,2015-06-09,10.323,9.512,10.337,9.49
105,2015-06-10,9.341,9.514,9.725,9.151
106,2015-06-11,9.493,9.405,9.531,9.284
107,2015-06-12,9.514,9.666,9.915,9.388
108,2015-06-15,9.642,9.153,9.642,9.056
109,2015-06-16,9.065,8.408,9.065,8.325
110,2015-06-17,8.327,8.764,8.828,8.259
111,2015-06-18,8.757,8.669,9.051,8.662
112,2015-06-19,8.259,8.465,8.788,8.259
113,2015-06-23,8.33,9.217,9.284,7.846
114,2015-06-24,9.279,9.443,9.678,9.07
115,2015-06-25,9.927,9.436,10.205,9.205
116,2015-06-26,9.255,8.491,9.255,8.491
117,2015-06-29,8.781,7.661,8.861,7.642
118,2015-06-30,7.66,8.428,8.428,6.896
119,2015-07-01,8.246,7.935,8.875,7.864
120,2015-07-02,8.126,7.197,8.248,7.142
