,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-07-01,12.01,12.42,11.17,11.12,343790.44,-1.19,-9.63,12.546,14.182,15.998,336022.51,285155.08,337096.45,1.69,,,,,,,,
2015-07-02,11.18,11.23,10.05,10.05,509907.12,-1.12,-10.03,11.66,13.492,15.688,390684.11,307431.23,350521.7,2.5,,,,,,,,
2015-07-03,11.06,11.06,11.06,10.85,1104595.0,1.01,10.05,11.27,12.98,15.347,570442.83,396019.2,379734.57,5.42,,,,,,,,
2015-07-06,12.17,12.17,12.17,11.91,2182817.5,1.11,10.04,11.362,12.69,15.023,920652.69,595488.72,449364.42,10.72,,,,,,,,
2015-07-07,11.68,12.14,11.35,10.95,2582409.5,-0.82,-6.74,11.16,12.31,14.685,1344703.91,833006.78,557246.26,12.68,,,,,,,,
2015-07-08,10.21,10.8,10.21,10.21,1514014.12,-1.13,-9.96,10.968,11.757,14.281,1578748.65,957385.58,616227.8,7.43,,,,,,,,
2015-07-09,9.7,11.23,11.23,9.3,1144605.12,1.02,9.99,11.204,11.432,13.938,1705688.25,1048186.18,658901.99,4.54,,,,,,,,
2015-07-10,12.35,12.35,12.35,11.85,563511.44,1.12,9.97,11.462,11.366,13.662,1597471.54,1083957.18,676067.74,2.23,,,,,,,,
2015-07-13,13.59,13.59,13.59,13.2,1060797.25,1.24,10.04,11.746,11.554,13.442,1373067.49,1146860.09,715613.12,4.21,,,,,,,,
2015-07-14,14.13,14.95,14.95,13.95,3010160.5,1.36,10.01,12.466,11.813,13.268,1458617.69,1401660.8,844064.25,11.94,,,,,,,,
2015-07-15,14.58,15.28,13.46,13.46,2309081.5,-1.49,-9.97,13.116,12.042,13.112,1617631.16,1598189.9,941672.49,9.16,,,,,,,,
2015-07-16,12.8,14.81,14.81,12.4,1988557.25,1.35,10.03,13.832,12.518,13.005,1786421.59,1746054.92,1026743.07,7.89,,,,,,,,
