,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-07-01,56.0,59.29,59.0,54.38,29394.05,1.36,2.36,56.024,59.381,62.656,27412.23,27689.09,25777.14,14.7,,,,,,,,
2015-07-02,57.5,64.0,64.0,53.51,29019.66,5.62,9.63,57.518,58.635,62.373,30014.48,26473.92,25958.57,14.51,,,,,,,,
2015-07-03,58.1,63.4,59.0,57.18,21663.61,-4.53,-7.13,59.13,57.935,62.065,30904.38,25755.48,25405.49,10.83,,,,,,,,
2015-07-06,63.5,63.5,55.81,53.21,31965.62,-3.31,-5.6,59.092,57.563,61.561,28866.27,27355.57,25637.08,15.98,,,,,,,,
2015-07-07,55.87,57.5,54.45,54.45,9336.0,-6.05,-10.0,58.452,57.252,61.107,24275.79,25299.31,25283.21,4.67,,,,,,,,
2015-07-08,49.01,49.01,49.01,49.01,794.0,-5.44,-9.99,56.454,56.239,60.365,18555.78,22984.0,24610.3,0.4,,,,,,,,
2015-07-09,44.11,53.91,53.91,44.11,34027.39,4.9,10.0,54.436,55.977,59.787,19557.32,24785.9,25161.89,17.01,,,,,,,,
2015-07-10,53.7,59.3,59.3,52.0,42804.6,5.39,10.0,54.496,56.813,59.282,23785.52,27344.95,25996.11,21.4,,,,,,,,
2015-07-13,59.3,64.99,63.23,58.01,86128.08,3.93,6.63,55.98,57.536,59.039,34618.01,31742.14,29227.93,43.06,,,,,,,,
2015-07-14,60.79,62.58,56.93,56.93,57923.25,-6.32,-9.99,56.476,57.464,58.723,44335.46,34305.63,31130.2,28.96,,,,,,,,
2015-07-15,53.5,53.5,51.24,51.24,28936.0,-5.69,-9.99,56.922,56.688,58.035,49963.86,34259.82,30974.45,14.47,,,,,,,,
2015-07-16,47.0,52.0,48.29,46.12,25781.07,-2.95,-5.76,55.798,55.117,56.876,48314.6,33935.96,30204.94,12.89,,,,,,,,
2015-07-17,49.48,52.07,51.18,48.43,19585.06,2.76,5.7,54.174,54.335,56.135,43670.69,33728.11,29741.79,9.79,,,,,,,,
2015-07-20,50.8,51.8,49.62,49.0,22506.49,-1.54,-3.01,51.452,53.716,55.64,30946.37,32782.19,30068.88,11.25,,,,,,,,
2015-07-21,49.3,51.3,51.25,48.0,20965.84,1.62,3.26,50.316,53.396,55.324,23554.89,33945.18,29622.24,10.48,,,,,,,,
2015-07-22,51.27,52.69,51.24,49.49,22279.95,-0.03,-0.06,50.316,53.619,54.929,22223.68,36093.77,29538.89,11.14,,,,,,,,
2015-07-23,51.29,56.36,56.36,50.9,36527.0,5.12,9.99,51.93,53.864,54.921,24372.87,36343.73,30564.82,18.26,,,,,,,,
2015-07-24,57.5,59.41,57.57,55.3,44148.02,1.21,2.15,53.208,53.691,55.252,29285.46,36478.08,31911.51,22.07,,,,,,,,
2015-07-27,54.95,56.69,51.38,51.38,19527.36,-5.71,-10.0,53.56,52.506,55.021,28689.63,29818.0,30780.07,9.76,,,,,,,,
2015-07-28,47.0,53.0,49.0,46.38,20558.57,-2.38,-4.63,53.11,51.713,54.589,28608.18,26081.54,30193.58,10.28,,,,,,,,
2015-07-29,50.0,52.0,51.8,47.0,12467.14,2.8,5.71,53.222,51.769,54.229,26645.62,24434.65,29347.24,6.23,,,,,,,,
2015-07-30,51.65,51.9,48.74,47.8,15444.71,-2.98,-5.76,51.698,51.814,53.466,22429.16,23401.01,28668.49,7.72,,,,,,,,
2015-07-31,47.84,50.0,48.18,47.45,10421.52,-0.48,-0.99,49.82,51.514,52.924,15683.86,22484.66,28106.38,5.21,,,,,,,,
2015-08-03,47.78,49.45,49.15,47.08,10569.41,1.07,2.23,49.374,51.467,52.592,13892.27,21290.95,27036.57,5.28,,,,,,,,
2015-08-04,49.1,52.3,52.17,48.48,15975.43,3.07,6.25,50.008,51.559,52.478,12975.64,20791.91,27368.54,7.99,,,,,,,,
2015-08-05,52.8,53.03,51.18,50.69,17807.84,-0.97,-1.86,49.884,51.553,52.586,14043.78,20344.7,28219.24,8.9,,,,,,,,
2015-08-06,50.01,52.2,50.3,49.42,10948.5,-0.9,-1.76,50.196,50.947,52.406,13144.54,17786.85,27065.29,5.47,,,,,,,,
2015-08-07,50.88,52.3,51.66,50.4,11828.71,1.36,2.7,50.892,50.356,52.024,13425.98,14554.92,25516.5,5.91,,,,,,,,
2015-08-10,52.85,54.71,54.05,51.7,21819.35,2.43,4.71,51.872,50.623,51.565,15675.97,14784.12,22301.06,10.91,,,,,,,,
2015-08-11,51.9,53.49,52.81,51.0,33550.91,-1.22,-2.26,52.0,51.004,51.359,19191.06,16083.35,21082.44,16.78,,,,,,,,
2015-08-12,51.65,52.27,50.5,50.5,17879.53,-2.3,-4.36,51.864,50.874,51.322,19205.4,16624.59,20529.62,8.94,,,,,,,,
2015-08-13,50.0,50.95,50.83,48.7,13119.96,0.28,0.55,51.97,51.083,51.449,19639.69,16392.12,19896.56,6.56,,,,,,,,
2015-08-14,50.82,51.5,50.45,50.2,11638.61,-0.37,-0.73,51.728,51.31,51.412,19601.67,16513.83,19499.24,5.82,,,,,,,,
2015-08-17,50.67,50.75,50.31,49.38,9242.32,-0.14,-0.28,50.98,51.426,51.447,17086.27,16381.12,18836.03,4.62,,,,,,-1.2770056171736996,-1.543101989278101,0.2660963721044014
2015-08-18,50.43,50.77,45.31,45.29,14715.85,-5.01,-9.96,49.48,50.74,51.15,13319.25,16255.16,18523.53,7.36,,,,,,-1.6553692783433007,-1.565555447091141,-0.08981383125215969
2015-08-19,44.0,45.96,44.96,41.65,17722.09,-0.35,-0.77,48.372,50.118,50.836,13287.77,16246.58,18295.64,8.86,,,-1.0,-1.0,,-1.96086366497655,-1.644617090668223,-0.31624657430832714
2015-08-20,43.85,44.98,41.28,41.18,17091.15,-3.68,-8.19,46.462,49.216,50.082,14082.0,16860.85,17323.85,8.55,,,-1.0,-1.0,,-2.4714263477806426,-1.8099789420907069,-0.6614474056899358
2015-08-21,40.95,40.95,37.86,37.5,14808.09,-3.53,-8.53,43.944,47.836,49.096,14715.9,17158.79,15856.85,7.4,,,-1.0,-1.0,,-3.116095955700878,-2.071202344812741,-1.044893610888137
2015-08-24,35.89,35.99,34.06,34.06,10986.67,-3.78,-9.99,40.694,45.837,48.23,15064.77,16075.52,15429.82,5.49,,,-1.0,-1.0,,-3.8888018199608823,-2.4347222398423694,-1.454079580118513
2015-08-25,30.8,32.7,30.65,30.65,12630.98,-3.41,-10.01,37.762,43.621,47.312,14647.8,13983.53,15033.44,6.32,,,-1.0,-1.0,,-4.721904114524008,-2.892158614778697,-1.8297454997453113
2015-08-26,31.01,33.11,32.0,29.0,21652.52,1.35,4.41,35.17,41.771,46.322,15433.88,14360.82,15492.71,10.83,,,-1.0,-1.0,,-5.2131164066800295,-3.3563501731589636,-1.856766233521066
