,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2017-03-08,12.73,15.28,15.28,12.73,23.0,4.67,44.02,15.28,15.28,15.28,23.0,23.0,23.0,0.01,,,,,,,,
2017-03-09,16.81,16.81,16.81,16.81,20.0,1.53,10.01,16.045,16.045,16.045,21.5,21.5,21.5,0.01,,,,,,,,
2017-03-10,18.49,18.49,18.49,18.49,41.0,1.68,9.99,16.86,16.86,16.86,28.0,28.0,28.0,0.02,,,,,,,,
2017-03-13,20.34,20.34,20.34,20.34,77.0,1.85,10.01,17.73,17.73,17.73,40.25,40.25,40.25,0.04,,,,,,,,
2017-03-14,22.37,22.37,22.37,22.37,86.0,2.03,9.98,18.658,18.658,18.658,49.4,49.4,49.4,0.05,,,,,,,,
2017-03-15,24.61,24.61,24.61,24.61,45.0,2.24,10.01,20.524,19.65,19.65,53.8,48.67,48.67,0.02,,,,,,,,
2017-03-16,27.07,27.07,27.07,27.07,67.0,2.46,10.0,22.576,20.71,20.71,63.2,51.29,51.29,0.04,,,,,,,,
2017-03-17,29.78,29.78,29.78,29.78,143.0,2.71,10.01,24.834,21.844,21.844,83.6,62.75,62.75,0.08,,,,,,,,
2017-03-20,32.76,32.76,32.76,32.76,239.0,2.98,10.01,27.318,23.057,23.057,116.0,82.33,82.33,0.13,,,,,,,,
2017-03-21,36.04,36.04,36.04,36.04,109.0,3.28,10.01,30.052,24.355,24.355,120.6,85.0,85.0,0.06,,,,,,,,
2017-03-22,39.64,39.64,39.64,39.64,450.04,3.6,9.99,33.058,26.791,25.745,201.61,127.7,118.19,0.24,,,,,,,,
2017-03-23,43.6,43.6,43.6,43.6,691.0,3.96,9.99,36.364,29.47,27.233,326.41,194.8,165.92,0.37,,,,,,,,
2017-03-24,47.96,47.96,47.96,47.96,559.0,4.36,10.0,40.0,32.417,28.827,409.61,246.6,196.16,0.3,,,,,,,,
2017-03-27,52.76,52.76,52.76,52.76,715.0,4.8,10.01,44.0,35.659,30.536,504.81,310.4,233.22,0.38,,,,,,,,
2017-03-28,58.04,58.04,58.04,58.04,1308.06,5.28,10.01,48.4,39.226,32.37,744.62,432.61,304.87,0.7,,,,,,,,
2017-03-29,63.84,63.84,63.84,63.84,4765.04,5.8,9.99,53.24,43.149,34.337,1607.62,904.61,583.63,2.55,,,,,,,,
2017-03-30,60.66,68.88,58.53,57.46,108369.87,-5.31,-8.32,56.226,46.295,35.76,23143.39,11734.9,6924.0,57.95,,,,,,,,
2017-03-31,56.04,58.04,52.68,52.68,69724.02,-5.85,-9.99,57.17,48.585,36.7,36976.4,18693.0,10412.89,37.29,,,,,,,,
2017-04-05,51.81,54.59,54.19,51.81,41576.26,1.51,2.87,57.456,50.728,37.621,45148.65,22826.73,12053.07,22.23,,,,,,,,
