,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2016-12-08,13.95,13.95,13.95,13.95,51.0,4.26,43.96,13.95,13.95,13.95,51.0,51.0,51.0,0.03,,,,,,,,
2016-12-09,15.35,15.35,15.35,15.35,9.0,1.4,10.04,14.65,14.65,14.65,30.0,30.0,30.0,0.0,,,,,,,,
2016-12-12,16.89,16.89,16.89,16.89,75.0,1.54,10.03,15.397,15.397,15.397,45.0,45.0,45.0,0.04,,,,,,,,
2016-12-13,18.58,18.58,18.58,18.58,48.0,1.69,10.01,16.193,16.193,16.193,45.75,45.75,45.75,0.02,,,,,,,,
2016-12-14,20.44,20.44,20.44,20.44,41.0,1.86,10.01,17.042,17.042,17.042,44.8,44.8,44.8,0.02,,,,,,,,
2016-12-15,22.48,22.48,22.48,22.48,87.0,2.04,9.98,18.748,17.948,17.948,52.0,51.83,51.83,0.04,,,,,,,,
2016-12-16,24.73,24.73,24.73,24.73,38.0,2.25,10.01,20.624,18.917,18.917,57.8,49.86,49.86,0.02,,,,,,,,
2016-12-19,27.2,27.2,27.2,27.2,78.24,2.47,9.99,22.686,19.953,19.953,58.45,53.41,53.41,0.04,,,,,,,,
2016-12-20,29.92,29.92,29.92,29.92,149.0,2.72,10.0,24.954,21.06,21.06,78.65,64.03,64.03,0.07,,,,,,,,
2016-12-21,32.91,32.91,32.91,32.91,278.0,2.99,9.99,27.448,22.245,22.245,126.05,85.42,85.42,0.14,,,,,,,,
2016-12-22,36.2,36.2,36.2,36.2,237.0,3.29,10.0,30.192,24.47,23.514,156.05,104.02,99.2,0.12,,,,,,,,
2016-12-23,39.82,39.82,39.82,39.82,433.0,3.62,10.0,33.21,26.917,24.873,235.05,146.42,127.02,0.22,,,,,,,,
2016-12-26,43.8,43.8,43.8,43.8,1990.37,3.98,9.99,36.53,29.608,26.328,617.47,337.96,270.35,1.0,,,,,,,,
2016-12-27,48.18,48.18,48.18,48.18,1754.84,4.38,10.0,40.182,32.568,27.889,938.64,508.65,376.39,0.88,,,,,,,,
2016-12-28,53.0,53.0,53.0,53.0,1387.21,4.82,10.0,44.2,35.824,29.563,1160.48,643.27,443.78,0.69,,,,,,,,
2016-12-29,58.3,58.3,54.63,53.65,132912.62,1.63,3.08,47.886,39.039,31.13,27695.61,13925.83,8723.08,66.46,,,,,,,,
2016-12-30,54.8,56.88,55.06,53.81,84928.49,0.43,0.79,50.934,42.072,32.538,44594.71,22414.88,13205.75,42.46,,,,,,,,
2017-01-03,55.5,56.03,55.23,54.07,56571.3,0.17,0.31,53.22,44.875,33.798,55510.89,28064.18,15614.95,28.29,,,,,,,,
2017-01-04,55.0,55.95,55.42,54.81,43802.01,0.19,0.34,54.668,47.425,34.936,63920.33,32429.48,17098.48,21.9,,,,,,,,
2017-01-05,55.06,56.77,55.77,54.8,44473.67,0.35,0.63,55.222,49.711,35.978,72537.62,36849.05,18467.24,22.24,,,,,,,,
2017-01-06,55.16,55.47,53.03,53.0,41821.93,-2.74,-4.91,54.902,51.394,37.932,54319.48,41007.54,20555.78,20.91,,,,,,,,
2017-01-09,52.02,54.98,52.91,51.51,17447.95,-0.12,-0.23,54.472,52.703,39.81,40823.37,42709.04,21427.73,8.72,,,,,,,,
2017-01-10,52.86,54.68,53.16,52.53,18743.23,0.25,0.47,54.058,53.639,41.624,33257.76,44384.33,22361.14,9.37,,,,,,,,
2017-01-11,52.35,53.62,52.48,51.71,19494.22,-0.68,-1.28,53.47,54.069,43.319,28396.2,46158.26,23333.45,9.75,,,,,,,,
2017-01-12,52.2,54.39,52.53,52.2,13687.0,0.05,0.1,52.822,54.022,44.923,22238.87,47388.24,24015.75,6.84,,,,,,,,
2017-01-13,51.87,51.98,49.63,49.0,27800.76,-2.9,-5.52,52.142,53.522,46.281,19434.63,36877.06,25401.44,13.9,,,,,,,,
2017-01-16,48.4,49.98,46.94,45.25,17252.63,-2.69,-5.42,50.948,52.71,47.391,19395.57,30109.47,26262.17,8.63,,,,,,,,
2017-01-17,46.51,49.1,48.2,44.67,16665.0,1.26,2.68,49.956,52.007,48.441,18979.92,26118.84,27091.51,8.33,,,,,,,,
2017-01-18,47.6,47.87,45.99,45.8,10279.01,-2.21,-4.58,48.658,51.064,49.245,17136.88,22766.54,27598.01,5.14,,,,,,,,
2017-01-19,45.59,47.0,45.59,44.77,8159.5,-0.4,-0.87,47.27,50.046,49.878,16031.38,19135.12,27992.09,4.08,,,,,,,,
2017-01-20,45.1,47.59,47.23,45.1,11806.0,1.64,3.6,46.79,49.466,50.43,12832.43,16133.53,28570.54,5.9,,,,,,,,
2017-01-23,47.1,50.16,48.65,47.0,12370.0,1.42,3.01,47.132,49.04,50.872,11855.9,15625.74,29167.39,6.19,,,,,,,,
2017-01-24,48.25,49.2,48.9,48.01,7398.26,0.25,0.51,47.272,48.614,51.126,10002.55,14491.24,29437.78,3.7,,,,,,,,
2017-01-25,48.56,51.19,50.72,48.55,15587.5,1.82,3.72,48.218,48.438,51.253,11064.25,14100.57,30129.41,7.79,,,,,,6.107005300577754,9.20026740939705,-3.093262108819296
2017-01-26,50.93,51.68,51.59,49.7,11574.63,0.87,1.72,49.418,48.344,51.183,11747.28,13889.33,30638.79,5.79,,,,,,5.810523880919199,8.52231870370148,-2.711794822782281
2017-02-03,51.65,52.99,51.04,50.18,20790.94,-0.55,-1.07,50.18,48.485,51.004,13544.27,13188.35,25032.7,10.4,,,,0.0,,5.4681464281278025,7.911484248586744,-2.4433378204589413
2017-02-06,51.02,52.2,52.12,50.93,12135.24,1.08,2.12,50.874,49.003,50.857,13497.31,12676.61,21393.04,6.07,,,,0.0,,5.223740772201467,7.373935553309688,-2.1501947811082216
2017-02-07,52.08,52.2,50.9,50.55,13293.53,-1.22,-2.34,51.274,49.273,50.64,14676.37,12339.46,19229.15,6.65,,,,0.0,,4.875403112746909,6.874229065197133,-1.9988259524502237
2017-02-08,50.61,51.58,51.12,50.15,12348.95,0.22,0.43,51.354,49.786,50.425,14028.66,12546.46,17656.5,6.17,,,,0.0,,4.5644787002084755,6.4122789921994015,-1.847800291990926
2017-02-09,50.79,51.39,50.88,50.52,12134.03,-0.24,-0.47,51.212,50.315,50.181,14140.54,12943.91,16039.52,6.07,,,,0.0,,4.249714802063451,5.979766154172212,-1.7300513521087604
2017-02-10,50.98,51.1,49.61,49.52,10283.13,-1.27,-2.5,50.926,50.553,50.01,12038.98,12791.62,14462.58,5.14,,,,0.0,,3.853364570729731,5.554485837483716,-1.7011212667539848
2017-02-13,49.48,51.26,50.42,49.28,13841.24,0.81,1.63,50.586,50.73,49.885,12380.18,12938.75,14282.24,6.92,,,,0.0,,3.5635361607590994,5.156295902138792,-1.5927597413796928
2017-02-14,50.65,51.1,50.46,50.15,10356.99,0.04,0.08,50.498,50.886,49.75,11792.87,13234.62,13862.93,5.18,,,,0.0,,3.2990434046765955,4.7848454026463525,-1.485801997969757
2017-02-15,50.83,51.89,50.68,50.44,18985.23,0.22,0.44,50.41,50.882,49.66,13120.12,13574.39,13837.48,9.49,,,,0.0,,3.071773656695413,4.442231053456164,-1.3704573967607514
2017-02-16,50.68,50.69,49.2,48.8,13172.16,-1.48,-2.92,50.074,50.643,49.494,13327.75,13734.14,13811.74,6.59,,,,0.0,,2.740644667175168,4.101913776199965,-1.3612691090247973
2017-02-17,49.45,49.68,49.08,48.91,10318.0,-0.12,-0.24,49.968,50.447,49.466,13334.72,12686.85,12937.6,5.16,,,,0.0,,2.4404080552470475,3.7696126320093817,-1.3292045767623342
2017-02-20,48.76,49.08,47.79,46.51,7739.1,-1.29,-2.63,49.442,50.014,49.509,12114.3,12247.24,12461.92,3.87,,,,0.0,,2.0744630395740558,3.4305827135223166,-1.3561196739482608
2017-02-21,47.84,52.57,52.57,47.66,29161.81,4.78,10.0,49.864,50.181,49.727,15875.26,13834.06,13086.76,14.58,,,,0.0,,2.1454239185815496,3.1735509545341634,-1.0281270359526138
2017-02-22,52.57,53.44,51.51,50.93,48835.81,-1.06,-2.02,50.03,50.22,50.003,21845.38,17482.75,15014.6,24.42,,,,0.0,,2.0920123688742436,2.9572432374021793,-0.8652308685279357
2017-02-23,50.5,51.48,51.24,50.02,21919.83,-0.27,-0.52,50.438,50.256,50.286,23594.91,18461.33,15702.62,10.96,,,,0.0,,2.004786654785903,2.766751920878924,-0.761965266093021
2017-02-24,51.61,52.39,52.15,51.11,25853.26,0.91,1.78,51.052,50.51,50.532,26701.96,20018.34,16404.98,12.93,,,,0.0,,1.9861934411293873,2.610640224929017,-0.6244467837996295
2017-02-27,51.63,52.36,51.07,50.8,13596.38,-1.08,-2.07,51.708,50.575,50.653,27873.42,19993.86,16466.3,6.8,,,,0.0,,1.8628375792488754,2.4610796957929884,-0.598242116544113
2017-02-28,50.97,51.72,51.63,50.68,12215.83,0.56,1.1,51.52,50.692,50.789,24484.22,20179.74,16707.18,6.11,,,,0.0,,1.789634695106038,2.3267906956555984,-0.5371560005495604
2017-03-01,51.74,52.0,50.98,50.88,12487.28,-0.65,-1.26,51.414,50.722,50.802,17214.52,19529.95,16552.17,6.24,,,,0.0,,1.6600354588675614,2.193439648297991,-0.5334041894304296
2017-03-02,51.19,51.39,50.83,50.66,9360.9,-0.15,-0.29,51.332,50.885,50.764,14702.73,19148.82,16441.48,4.68,,1.0,,-1.0,,1.5276140007449115,2.060274518787375,-0.5326605180424635
2017-03-03,50.75,51.35,51.28,50.22,8719.0,0.45,0.89,51.158,51.105,50.776,11275.88,18988.92,15837.89,4.36,,1.0,,-1.0,,1.442353724429502,1.9366903599158003,-0.49433663548629836
2017-03-06,51.28,53.5,52.6,51.0,19923.53,1.32,2.57,51.464,51.586,50.8,12541.31,20207.36,16227.3,9.96,,,,0.0,,1.4644164284623926,1.8422355736251188,-0.3778191451627262
2017-03-07,53.0,53.98,53.44,52.6,21206.83,0.84,1.6,51.826,51.673,50.927,14339.51,19411.87,16622.96,10.6,,1.0,,-1.0,,1.5320220634914392,1.7801928715983828,-0.24817080810694359
2017-03-08,53.6,54.29,53.48,52.82,19150.56,0.04,0.07,52.326,51.87,51.045,15672.16,16443.34,16963.05,9.58,,1.0,,-1.0,,1.5707213836595955,1.7382985740106254,-0.16757719035102991
