,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-07-01,48.45,52.47,46.8,46.7,75656.27,-2.36,-4.8,50.088,56.535,68.048,59172.85,58442.17,80945.98,15.13,,,,,,,,
2015-07-02,47.4,47.98,43.4,43.0,57004.97,-3.39,-7.25,47.348,53.927,65.059,60730.99,58206.42,77997.68,11.4,,,,,,,,
2015-07-03,41.98,44.64,40.0,39.27,54402.4,-3.46,-7.96,45.096,51.68,62.417,62232.68,57569.28,74042.57,10.88,,,,,,,,
2015-07-06,44.04,44.04,42.24,39.2,70238.62,2.2,5.5,44.318,49.991,60.351,65328.13,58728.86,73928.46,14.05,,,,,,,,
2015-07-07,40.28,41.79,38.0,38.0,42662.87,-4.22,-9.99,42.088,47.548,58.49,59993.03,57992.89,72439.3,8.53,,,,,,,,
2015-07-13,41.8,41.8,41.8,41.8,630.76,3.8,10.0,41.088,45.588,57.032,44987.92,52080.39,66285.53,0.13,,,,,,,,
2015-07-14,45.98,45.98,45.98,45.98,933.54,4.18,10.0,41.604,44.476,55.555,33773.64,47252.31,61394.08,0.19,,,,,,,,
2015-07-15,50.58,50.58,46.0,45.99,129693.6,0.02,0.04,42.804,43.95,53.701,48831.88,55532.28,63635.88,25.94,,,,,,,,
2015-07-16,42.5,49.58,47.75,42.0,71334.01,1.75,3.8,43.906,44.112,52.222,49050.96,57189.55,58859.39,14.27,,,,,,,,
2015-07-17,47.8,51.99,51.41,47.77,73937.07,3.66,7.67,46.588,44.338,51.312,55305.8,57649.41,58081.03,14.79,,,,,,,,
2015-07-20,52.0,52.5,50.9,49.53,81748.82,-0.5,-0.97,48.408,44.748,50.642,71529.41,58258.67,58350.42,16.35,,,,,,,,
2015-07-21,49.0,52.96,52.58,48.32,76144.76,1.68,3.3,49.728,45.666,49.797,86571.65,60172.65,59189.53,15.23,,,,,,,,
2015-07-22,52.4,52.58,51.53,50.51,59217.37,-1.04,-1.98,50.834,46.819,49.25,72476.41,60654.14,59111.71,11.84,,,,,,,,
2015-07-23,51.1,56.66,56.66,51.1,112747.66,5.15,10.0,52.616,48.261,49.126,80759.14,64905.05,61816.95,22.55,,,,,,,,
2015-07-24,58.2,59.47,54.9,54.5,122810.06,-1.76,-3.11,53.314,49.951,48.75,90533.73,72919.77,65456.33,24.56,,,,,,,,
2015-07-27,53.48,58.9,50.65,50.03,102645.54,-4.24,-7.72,53.264,50.836,48.212,94713.08,83121.24,67600.82,20.53,,,,,,,,
2015-07-28,48.9,53.51,52.36,48.0,80962.88,1.67,3.29,53.22,51.474,47.975,95676.7,91124.18,69188.24,16.19,,,,,,,,
2015-07-29,52.9,56.56,56.35,49.55,76543.35,4.0,7.64,54.184,52.509,48.23,99141.9,85809.15,70670.71,15.31,,,,,,,,
2015-07-30,56.35,58.39,54.76,54.59,85485.48,-1.55,-2.75,53.804,53.21,48.661,93689.46,87224.3,72206.92,17.1,,,,,,,,
2015-07-31,53.5,58.0,55.39,53.3,70731.03,0.59,1.08,53.902,53.608,48.973,83273.66,86903.7,72276.55,14.15,,,,,,,,
2015-08-03,54.55,56.7,52.79,51.05,61382.32,-2.6,-4.69,54.33,53.797,49.273,75021.01,84867.05,71562.86,12.28,,,,,,,,
2015-08-04,52.15,55.98,55.89,51.98,67025.58,3.08,5.83,55.036,54.128,49.897,72233.55,83955.13,72063.89,13.41,,,,,,,,
2015-08-05,55.08,57.98,56.43,54.63,89993.58,0.52,0.93,55.052,54.618,50.719,74923.6,87032.75,73843.45,18.0,,,,,,,,
2015-08-06,54.95,55.6,53.72,52.88,57517.84,-2.73,-4.84,54.844,54.324,51.293,69330.07,81509.77,73207.41,11.5,,,,,,,,
2015-08-07,53.8,55.49,55.47,53.8,49196.18,1.75,3.26,54.86,54.381,52.166,65023.1,74148.38,73534.07,9.84,,,,,,,,
2015-08-10,56.3,59.11,58.42,55.61,81099.57,3.03,5.47,55.986,55.158,52.997,68966.55,71993.78,77557.51,16.22,,,,,,,,
2015-08-11,58.0,61.25,59.93,57.73,93241.46,1.58,2.71,56.794,55.915,53.695,74209.73,73221.64,82172.91,18.65,,,,,,,,
