,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-07-01,58.6,58.6,58.6,58.6,846.0,-6.51,-10.0,57.904,53.39,47.138,30991.7,32459.49,31898.02,0.24,,,,,,,,
2015-07-02,52.74,52.74,52.74,52.74,224.0,-5.86,-10.0,58.298,54.079,47.831,24692.53,29348.98,30549.84,0.06,,,,,,,,
2015-07-03,47.47,47.47,47.47,47.47,4348.0,-5.27,-9.99,56.622,53.854,48.293,17088.0,24941.19,29996.35,1.23,,,,,,,,
2015-07-06,43.0,47.47,42.72,42.72,52643.35,-4.75,-10.01,53.328,53.17,48.549,18673.11,26715.55,31868.25,14.86,,,,,,,,
2015-07-07,38.45,38.45,38.45,38.45,813.0,-4.27,-9.99,47.996,52.06,48.585,11774.87,24473.01,31123.61,0.23,,,,,,,,
2015-07-08,34.61,34.61,34.61,34.61,326.0,-3.84,-9.99,43.198,50.551,48.371,11670.87,21331.29,28794.71,0.09,,,,,,,,
2015-07-09,31.15,38.07,38.07,31.15,138843.22,3.46,10.0,40.264,49.281,48.276,39394.71,32043.62,34089.46,39.18,,,,,,,,
2015-07-10,36.9,41.88,41.88,35.08,136178.27,3.81,10.01,39.146,47.884,48.225,65760.77,41424.38,38749.67,38.43,,,,,,,,
2015-07-13,40.21,45.99,44.0,40.0,128205.47,2.12,5.06,39.402,46.365,48.225,80873.19,49773.15,43026.41,36.18,,,,,,,,
2015-07-14,42.0,44.85,40.8,40.01,98300.11,-3.1,-7.06,39.872,43.934,48.042,100370.61,56072.74,46234.84,27.74,,,,,,,,
2015-07-15,38.97,38.97,36.74,36.74,40655.06,-4.08,-9.99,40.298,41.748,47.569,108436.43,60053.65,46256.57,11.47,,,,,,,,
2015-07-16,33.07,37.45,34.56,33.07,58084.3,-2.18,-5.93,39.596,39.93,47.005,92284.64,65839.68,47594.33,16.39,,,,,,,,
2015-07-17,35.09,37.66,36.85,35.09,39300.76,2.28,6.59,38.59,38.868,46.361,72909.14,69334.95,47138.07,11.09,,,,,,,,
2015-07-20,37.0,38.68,37.26,36.15,44649.34,0.38,1.03,37.242,38.322,45.746,56197.91,68535.55,47625.55,12.6,,,,,,,,
